3.00E+00,5.00E+00,1.00E+00
3.00E+00,1.00E+00,9.87E-01
3.00E+00,1.00E+00,9.73E-01
3.00E+00,4.00E+00,9.60E-01
3.00E+00,5.00E+00,9.47E-01
3.00E+00,5.00E+00,9.33E-01
3.00E+00,2.00E+00,9.20E-01
3.00E+00,1.00E+00,9.07E-01
3.00E+00,2.00E+00,8.93E-01
3.00E+00,1.00E+00,8.80E-01
3.00E+00,9.00E+00,8.67E-01
3.00E+00,2.00E+00,8.53E-01
3.00E+00,5.00E+00,8.40E-01
3.00E+00,2.00E+00,8.27E-01
3.00E+00,6.00E+00,8.13E-01
3.00E+00,6.00E+00,8.00E-01
3.00E+00,5.00E+00,7.87E-01
3.00E+00,9.00E+00,7.73E-01
3.00E+00,1.50E+01,7.60E-01
3.00E+00,7.00E+00,7.47E-01
3.00E+00,7.00E+00,7.33E-01
3.00E+00,2.00E+00,7.20E-01
3.00E+00,1.00E+01,7.07E-01
3.00E+00,1.00E+00,6.93E-01
3.00E+00,1.50E+01,6.80E-01
3.00E+00,5.00E+00,6.67E-01
3.00E+00,8.00E+00,6.53E-01
3.00E+00,4.00E+00,6.40E-01
3.00E+00,4.00E+00,6.27E-01
3.00E+00,3.00E+00,6.13E-01
3.00E+00,2.00E+00,6.00E-01
3.00E+00,2.00E+00,5.87E-01
3.00E+00,2.00E+00,5.73E-01
3.00E+00,9.00E+00,5.60E-01
3.00E+00,3.00E+00,5.47E-01
3.00E+00,2.00E+00,5.33E-01
4.00E+00,1.30E+01,5.20E-01
3.00E+00,2.00E+00,5.07E-01
3.00E+00,1.30E+01,4.93E-01
3.00E+00,1.00E+00,4.80E-01
3.00E+00,1.10E+01,4.67E-01
3.00E+00,5.00E+00,4.53E-01
3.00E+00,2.80E+01,4.40E-01
3.00E+00,2.00E+00,4.27E-01
3.00E+00,1.00E+00,4.13E-01
3.00E+00,5.00E+00,4.00E-01
3.00E+00,6.00E+00,3.87E-01
3.00E+00,1.00E+00,3.73E-01
3.00E+00,9.00E+00,3.60E-01
3.00E+00,2.50E+01,3.47E-01
3.00E+00,1.40E+01,3.33E-01
3.00E+00,5.00E+00,3.20E-01
3.00E+00,1.10E+01,3.07E-01
3.00E+00,1.00E+01,2.93E-01
3.00E+00,3.00E+00,2.80E-01
3.00E+00,5.00E+00,2.67E-01
3.00E+00,2.50E+01,2.53E-01
3.00E+00,1.40E+01,2.40E-01
3.00E+00,1.00E+00,2.27E-01
3.00E+00,1.30E+01,2.13E-01
3.00E+00,3.20E+01,2.00E-01
3.00E+00,1.00E+01,1.87E-01
3.00E+00,2.10E+01,1.73E-01
3.00E+00,5.80E+01,1.60E-01
3.00E+00,1.10E+01,1.47E-01
4.00E+00,3.40E+01,1.33E-01
4.00E+00,2.80E+01,1.20E-01
3.00E+00,2.00E+00,1.07E-01
3.00E+00,1.60E+01,9.33E-02
3.00E+00,3.00E+00,8.00E-02
4.00E+00,4.10E+01,6.67E-02
3.00E+00,6.00E+00,5.33E-02
3.00E+00,4.50E+01,4.00E-02
4.00E+00,6.90E+01,2.67E-02
5.00E+00,7.80E+01,1.33E-02
3.00E+00,1.49E+02,0.00E+00
6.00E+00,1.75E+02,-1.33E-02
4.00E+00,9.40E+01,-2.67E-02
1.70E+01,7.02E+02,-4.00E-02
5.00E+00,4.90E+01,-5.33E-02
6.00E+00,2.05E+02,-6.67E-02
5.00E+00,4.30E+02,-8.00E-02
9.00E+00,2.01E+02,-9.33E-02
3.00E+00,2.30E+01,-1.07E-01
3.00E+00,1.52E+02,-1.20E-01
3.00E+00,2.00E+01,-1.33E-01
3.00E+00,6.00E+00,-1.47E-01
7.00E+00,1.12E+02,-1.60E-01
6.00E+00,8.80E+01,-1.73E-01
3.00E+00,3.00E+01,-1.87E-01
7.00E+00,1.16E+02,-2.00E-01
5.00E+00,1.26E+02,-2.13E-01
1.70E+01,3.41E+02,-2.27E-01
1.60E+01,2.92E+02,-2.40E-01
2.60E+01,5.52E+02,-2.53E-01
1.40E+01,2.08E+02,-2.67E-01
8.00E+00,8.30E+01,-2.80E-01
1.20E+01,1.26E+02,-2.93E-01
1.40E+01,2.08E+02,-3.07E-01
1.40E+01,2.75E+02,-3.20E-01
2.00E+01,2.86E+02,-3.33E-01
2.30E+01,2.64E+02,-3.47E-01
1.60E+01,2.40E+02,-3.60E-01
7.00E+00,7.50E+01,-3.73E-01
1.30E+01,1.31E+02,-3.87E-01
5.00E+00,3.90E+01,-4.00E-01
1.00E+01,9.60E+01,-4.13E-01
2.90E+01,3.30E+02,-4.27E-01
1.60E+01,1.35E+02,-4.40E-01
1.70E+01,1.66E+02,-4.53E-01
1.00E+01,6.90E+01,-4.67E-01
2.00E+01,2.06E+02,-4.80E-01
1.20E+01,1.10E+02,-4.93E-01
2.70E+01,3.14E+02,-5.07E-01
2.10E+01,2.38E+02,-5.20E-01
3.30E+01,4.54E+02,-5.33E-01
3.20E+01,3.37E+02,-5.47E-01
1.00E+01,8.00E+01,-5.60E-01
2.60E+01,3.48E+02,-5.73E-01
1.80E+01,2.22E+02,-5.87E-01
1.50E+01,1.55E+02,-6.00E-01
2.30E+01,2.71E+02,-6.13E-01
1.50E+01,1.32E+02,-6.27E-01
2.50E+01,2.88E+02,-6.40E-01
1.60E+01,1.44E+02,-6.53E-01
1.90E+01,1.70E+02,-6.67E-01
1.90E+01,1.79E+02,-6.80E-01
2.60E+01,2.36E+02,-6.93E-01
2.80E+01,3.05E+02,-7.07E-01
2.50E+01,2.72E+02,-7.20E-01
3.10E+01,3.62E+02,-7.33E-01
2.90E+01,3.96E+02,-7.47E-01
1.30E+01,9.40E+01,-7.60E-01
2.90E+01,3.18E+02,-7.73E-01
1.80E+01,1.46E+02,-7.87E-01
